iid	i_year	i_Action	i_Adventure	i_Animation	i_Children's	i_Comedy	i_Crime	i_Documentary 	i_Drama 	i_Fantasy 	i_Film-Noir 	i_Horror 	i_Musical 	i_Mystery 	i_Romance 	i_Sci-Fi 	i_Thriller 	i_War 	i_Western	i_Other
1	13	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
2	13	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
3	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
4	13	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
5	13	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1
6	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1
8	13	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1
9	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
11	13	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
12	13	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
13	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
14	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
15	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
16	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
17	14	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1
18	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
19	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
20	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
21	14	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1
22	14	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
23	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
24	14	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
25	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
26	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
27	13	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	13	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
29	13	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
30	4	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
31	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
32	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
33	13	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
34	13	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
35	13	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
36	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
37	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
38	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
39	13	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
40	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
41	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
42	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
43	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
44	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
45	12	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
46	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
47	12	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
48	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
49	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
50	5	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
51	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2
52	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
53	12	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
54	13	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
55	12	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1
56	12	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
57	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
58	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
59	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
60	11	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
61	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
62	12	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
63	12	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
64	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
65	11	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
66	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
67	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
68	12	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
69	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1
70	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
71	12	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
72	12	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1
73	12	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
74	4	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
75	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
76	11	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
77	11	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
78	11	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
79	11	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
80	11	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1
81	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
82	11	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
83	11	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
84	12	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
85	12	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
86	11	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
87	11	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
88	11	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
89	6	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
90	11	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1
91	11	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1
92	11	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
93	14	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
94	8	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
95	10	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1
96	9	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
97	8	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
98	9	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
99	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
100	15	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1
101	6	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
102	5	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
103	14	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
104	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
105	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
106	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
107	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
108	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
109	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
110	13	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1
111	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
112	14	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
113	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
114	14	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
115	14	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
116	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
117	14	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
118	14	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
119	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
120	14	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
121	14	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
122	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
123	14	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
124	14	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
125	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
126	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
127	5	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
128	14	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
129	14	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1
130	14	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
131	4	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
132	1	1	1	2	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1
133	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1
134	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
135	4	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1
136	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
137	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
138	14	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
139	4	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
140	11	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
141	3	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1
142	5	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
143	4	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
144	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
145	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
146	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
147	14	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
148	14	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
149	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
150	14	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
151	5	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
152	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
153	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
154	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
155	7	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
156	10	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
157	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
158	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
159	10	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
160	10	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
161	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
162	6	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
163	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
164	7	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
165	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
166	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
167	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
168	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
169	11	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
170	7	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1
171	9	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
172	6	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1
173	7	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
174	6	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
175	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
176	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1
177	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
178	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
179	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
180	5	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
181	15	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
182	8	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
183	5	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
184	11	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1
185	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
186	6	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1
187	5	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
188	7	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
189	10	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
190	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
191	6	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
192	6	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
193	6	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
194	5	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
195	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
196	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
197	4	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
198	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
199	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
200	6	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
201	7	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
202	11	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
203	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
204	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
205	5	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
206	7	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
207	8	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
208	5	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
209	6	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
210	7	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
211	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1
212	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
213	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
214	6	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1
215	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
216	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
217	10	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
218	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
219	6	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
220	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
221	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
222	14	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
223	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
224	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
225	14	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
226	8	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
227	9	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
228	6	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
229	6	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
230	7	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
231	10	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
232	7	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
233	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
234	5	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
235	14	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1
236	14	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
237	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
238	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
239	10	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1
240	14	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
241	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
242	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
243	15	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
244	15	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
245	15	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
246	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
247	15	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
248	15	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
249	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
250	15	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
251	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
252	15	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
253	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
254	15	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
255	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
256	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
257	15	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
258	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1
259	15	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
260	15	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1
261	15	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
262	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
263	15	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
264	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
265	8	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
266	15	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
267	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
268	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
269	15	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
270	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1
271	15	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
272	15	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
273	13	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
274	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
275	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
276	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
277	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
278	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
279	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
280	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
281	12	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
